타임스탬프,학년,성별,학과,취미,휴대폰 이용 시간대,휴대폰 이용 시간,휴대폰으로 주로 하는것,자기 전 1시간 휴대폰 이용,전자기기 제외 주로 뭐 하는지,학교 수업 외로 하루 공부 시간,주로 공부하는 시간,학과 선택 만족,전공 취업 선호도,소셜 미디어 사용 시간,집에서 학교까지 오는시간,학업 스트레스,교우관계,아르바이트,방과후 수업
2023. 10. 12 오후 2:41:31,2,남자,창업마케팅과,운동,밤에(20시~24시),5~7시간,웹툰,한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),X,0,1시간-2시간,10-30분,3,2,O,O
2023. 10. 12 오후 2:42:22,2,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),3~5시간,게임,한다,TV 보기,0-30분,방과후(저녁),O,10,2시간-3시간 이상,30-1시간,2,1,X,O
2023. 10. 12 오후 2:43:13,2,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),9시간 이상,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,O,4,2시간-3시간 이상,30-1시간,2,2,X,X
2023. 10. 12 오후 2:43:33,2,여자,스마트웹콘텐츠과,음악,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,30분-1시간,방과후(저녁),O,7,1시간-2시간,10-30분,3,2,X,O
2023. 10. 12 오후 2:44:09,2,여자,스마트웹콘텐츠과,영상시청,새벽에(00시~6시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,O,7,2시간-3시간 이상,10-30분,2,2,X,O
2023. 10. 12 오후 2:45:00,2,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,방과후(저녁),O,9,30-1시간,10-30분,1,1,X,O
2023. 10. 12 오후 2:45:40,2,남자,스마트웹콘텐츠과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,X,0,0-30분,30-1시간,1,1,O,X
2023. 10. 12 오후 2:46:37,2,남자,스마트웹콘텐츠과,영상시청,학교에서(9시~17시),1~3시간,정보검색,안한다,TV 보기,0-30분,방과후(저녁),O,10,0-30분,30-1시간,1,1,O,O
2023. 10. 12 오후 2:46:58,2,여자,스마트웹콘텐츠과,예술,밤에(20시~24시),7~9시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,O,5,2시간-3시간 이상,30-1시간,4,3,X,X
2023. 10. 12 오후 2:47:41,2,남자,스마트웹콘텐츠과,운동,밤에(20시~24시),1시간 미만,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,기타,O,10,0-30분,10-30분,3,2,X,O
2023. 10. 12 오후 2:48:20,2,남자,스마트웹콘텐츠과,음악,저녁에(17시~20시),7~9시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,5,0-30분,10-30분,2,2,O,O
2023. 10. 12 오후 2:48:26,2,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,4,30-1시간,10-30분,2,1,X,O
2023. 10. 12 오후 2:49:18,2,여자,스마트웹콘텐츠과,영상시청,밤에(20시~24시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,O,5,30-1시간,10-30분,2,2,X,O
2023. 10. 12 오후 2:49:30,2,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),1~3시간,SNS,한다,기타,30분-1시간,방과후(저녁),X,3,30-1시간,10-30분,4,3,O,O
2023. 10. 12 오후 2:49:46,2,남자,스마트웹콘텐츠과,음악,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,7,30-1시간,30-1시간,2,2,X,O
2023. 10. 12 오후 2:50:06,2,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),X,4,1시간-2시간,30-1시간,2,3,X,X
2023. 10. 12 오후 2:50:26,2,남자,스마트웹콘텐츠과,게임,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,O,4,0-30분,10-30분,1,3,X,X
2023. 10. 12 오후 2:53:46,2,남자,스마트웹콘텐츠과,영상시청,학교에서(9시~17시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,0-30분,방과후(저녁),O,8,2시간-3시간 이상,10-30분,2,2,X,O
2023. 10. 12 오후 3:08:25,2,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),3~5시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,7,1시간-2시간,10-30분,4,2,O,O
2023. 10. 12 오후 3:12:59,2,여자,스마트웹콘텐츠과,예술,새벽에(00시~6시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,밤,O,10,2시간-3시간 이상,10-30분,3,4,X,X
2023. 10. 12 오후 3:13:50,3,여자,금융경영과,음악,밤에(20시~24시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,7,1시간-2시간,30-1시간,3,1,X,X
2023. 10. 12 오후 3:16:29,1,여자,창업마케팅과,음악,새벽에(00시~6시),3~5시간,SNS,한다,기타,1시간-2시간,밤,O,4,30-1시간,1시간-2시간,4,2,X,X
2023. 10. 12 오후 3:42:14,2,여자,스마트웹콘텐츠과,예술,새벽에(00시~6시),7~9시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,5,2시간-3시간 이상,10-30분,2,2,O,X
2023. 10. 12 오후 3:46:07,1,남자,소프트웨어개발과,게임,새벽에(00시~6시),9시간 이상,웹툰,한다,공부,2시간-3시간 이상,기타,O,10,2시간-3시간 이상,2시간 이상,2,3,X,X
2023. 10. 12 오후 3:46:13,2,여자,창업마케팅과,운동,저녁에(17시~20시),5~7시간,웹툰,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,O,6,2시간-3시간 이상,30-1시간,4,4,X,O
2023. 10. 12 오후 3:46:13,2,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,밤,O,8,1시간-2시간,1시간-2시간,3,1,X,O
